itemid	bin_latitude	bin_longitude	bin_timestamp
805	19680.0	17220.0	31
981	19680.0	17220.0	35
805	19680.0	17220.0	39
805	19680.0	17220.0	36
981	19680.0	17220.0	32
805	19680.0	17220.0	40
805	19680.0	17220.0	30
805	19680.0	17220.0	33
981	19680.0	17220.0	36
324	19680.0	17220.0	32
324	19680.0	17220.0	30
805	19680.0	17220.0	32
981	19680.0	17220.0	30
981	19680.0	17220.0	40
981	19680.0	17220.0	31
981	19680.0	17220.0	34
805	19680.0	17220.0	34
324	19680.0	17220.0	33
805	19680.0	17220.0	37
324	19680.0	17220.0	35
981	19680.0	17220.0	33
805	19680.0	17220.0	38
981	19680.0	17220.0	39
805	19680.0	17220.0	35
981	19680.0	17220.0	37
324	19680.0	17220.0	34
324	19680.0	17220.0	31
981	19680.0	17220.0	38
