itemid	bin_latitude	bin_longitude	bin_timestamp
11	12300.0	14760.0	93
696	14760.0	24600.0	46
375	14760.0	22140.0	22
524	7380.0	19680.0	42
451	19680.0	17220.0	21
385	19680.0	17220.0	8
1237	14760.0	24600.0	65
375	14760.0	22140.0	2
831	19680.0	17220.0	84
1237	14760.0	22140.0	40
868	14760.0	22140.0	5
524	7380.0	17220.0	51
1063	17220.0	12300.0	38
1158	19680.0	17220.0	14
440	17220.0	12300.0	51
1232	17220.0	12300.0	8
868	12300.0	19680.0	36
1184	19680.0	17220.0	74
1243	12300.0	19680.0	50
24	14760.0	24600.0	46
1354	19680.0	17220.0	59
119	14760.0	22140.0	73
831	19680.0	17220.0	11
726	14760.0	22140.0	89
831	19680.0	17220.0	72
119	7380.0	19680.0	40
381	17220.0	12300.0	46
119	17220.0	22140.0	81
1223	14760.0	22140.0	78
915	4920.0	19680.0	11
839	12300.0	19680.0	40
1232	17220.0	12300.0	16
696	14760.0	24600.0	23
284	7380.0	19680.0	41
284	9840.0	9840.0	95
1243	12300.0	19680.0	60
1137	14760.0	27060.0	12
527	14760.0	24600.0	39
420	7380.0	19680.0	22
1243	12300.0	19680.0	51
1063	17220.0	9840.0	7
385	17220.0	12300.0	82
1243	14760.0	22140.0	27
1232	17220.0	12300.0	40
565	17220.0	12300.0	15
1184	19680.0	17220.0	102
565	17220.0	12300.0	30
383	17220.0	12300.0	18
333	19680.0	19680.0	75
868	14760.0	22140.0	6
822	14760.0	22140.0	20
1012	14760.0	22140.0	83
270	14760.0	27060.0	13
222	7380.0	19680.0	34
1137	14760.0	24600.0	39
553	14760.0	22140.0	10
1079	19680.0	17220.0	51
1063	17220.0	12300.0	32
589	19680.0	17220.0	23
650	19680.0	17220.0	44
270	12300.0	27060.0	10
553	12300.0	22140.0	55
868	14760.0	19680.0	30
673	19680.0	17220.0	91
877	14760.0	24600.0	51
673	19680.0	17220.0	40
1051	17220.0	12300.0	62
34	12300.0	19680.0	43
908	12300.0	19680.0	67
383	17220.0	12300.0	53
980	14760.0	27060.0	13
565	17220.0	12300.0	45
493	17220.0	12300.0	7
915	4920.0	19680.0	13
1232	17220.0	12300.0	39
119	4920.0	19680.0	5
451	19680.0	17220.0	27
1232	17220.0	12300.0	53
1079	19680.0	19680.0	99
1012	14760.0	27060.0	14
831	19680.0	17220.0	23
420	4920.0	19680.0	17
1016	19680.0	17220.0	9
527	12300.0	19680.0	84
383	17220.0	12300.0	62
989	14760.0	22140.0	81
822	14760.0	22140.0	27
527	14760.0	24600.0	46
1354	19680.0	17220.0	28
184	19680.0	17220.0	37
420	7380.0	19680.0	45
383	17220.0	12300.0	51
868	14760.0	22140.0	23
1158	19680.0	19680.0	75
1232	17220.0	12300.0	61
767	12300.0	22140.0	53
375	12300.0	17220.0	71
284	9840.0	12300.0	76
34	14760.0	22140.0	20
696	14760.0	27060.0	17
696	14760.0	27060.0	9
119	4920.0	19680.0	18
333	19680.0	19680.0	91
1305	19680.0	19680.0	84
696	14760.0	22140.0	63
726	14760.0	22140.0	81
1232	17220.0	12300.0	38
440	17220.0	12300.0	47
381	19680.0	12300.0	1
589	19680.0	17220.0	105
261	14760.0	22140.0	73
650	19680.0	17220.0	10
1079	19680.0	19680.0	95
831	19680.0	17220.0	34
36	7380.0	19680.0	24
11	14760.0	22140.0	26
440	17220.0	12300.0	37
493	17220.0	12300.0	31
420	7380.0	19680.0	38
767	12300.0	22140.0	52
184	19680.0	17220.0	12
1237	14760.0	22140.0	13
989	14760.0	22140.0	61
980	14760.0	22140.0	74
1167	17220.0	12300.0	30
1354	19680.0	19680.0	114
908	7380.0	17220.0	82
270	14760.0	22140.0	76
383	17220.0	12300.0	69
1237	14760.0	24600.0	68
11	12300.0	17220.0	76
333	19680.0	17220.0	103
1223	14760.0	22140.0	55
1174	14760.0	27060.0	31
696	12300.0	19680.0	98
868	12300.0	19680.0	41
1354	19680.0	19680.0	110
392	4920.0	19680.0	2
1167	17220.0	12300.0	60
1016	19680.0	17220.0	19
333	19680.0	19680.0	95
527	14760.0	27060.0	20
831	19680.0	17220.0	36
381	17220.0	12300.0	35
1232	17220.0	12300.0	6
553	12300.0	19680.0	45
1237	14760.0	22140.0	28
375	14760.0	19680.0	37
1184	19680.0	17220.0	17
831	19680.0	17220.0	43
696	14760.0	22140.0	77
222	9840.0	19680.0	54
1159	17220.0	14760.0	9
1354	19680.0	17220.0	61
222	7380.0	19680.0	40
34	14760.0	22140.0	22
333	19680.0	17220.0	5
868	14760.0	22140.0	2
1354	19680.0	17220.0	12
381	17220.0	12300.0	60
393	4920.0	19680.0	8
1137	14760.0	22140.0	77
1016	19680.0	17220.0	30
451	19680.0	17220.0	15
1305	19680.0	19680.0	81
839	12300.0	19680.0	52
673	19680.0	17220.0	14
284	4920.0	19680.0	15
822	12300.0	22140.0	64
980	14760.0	22140.0	61
1012	14760.0	24600.0	57
119	12300.0	22140.0	65
420	7380.0	19680.0	53
831	19680.0	17220.0	82
381	17220.0	12300.0	30
908	12300.0	19680.0	58
565	14760.0	12300.0	1
261	14760.0	27060.0	16
839	14760.0	22140.0	6
11	14760.0	22140.0	18
1223	14760.0	24600.0	32
451	19680.0	17220.0	48
222	9840.0	17220.0	77
493	17220.0	12300.0	15
839	14760.0	22140.0	28
1223	14760.0	22140.0	53
589	19680.0	17220.0	96
565	17220.0	12300.0	20
119	7380.0	19680.0	41
1167	17220.0	12300.0	51
1184	19680.0	17220.0	85
1184	19680.0	17220.0	116
1167	17220.0	12300.0	61
119	7380.0	19680.0	47
877	14760.0	22140.0	20
381	17220.0	12300.0	13
767	14760.0	22140.0	21
989	14760.0	22140.0	66
270	12300.0	19680.0	99
383	17220.0	12300.0	38
1174	14760.0	27060.0	19
565	17220.0	12300.0	36
127	4920.0	19680.0	15
392	7380.0	19680.0	39
119	7380.0	19680.0	20
1137	12300.0	19680.0	96
726	14760.0	22140.0	71
1243	14760.0	19680.0	38
1184	19680.0	17220.0	68
62	19680.0	17220.0	4
34	14760.0	22140.0	30
383	17220.0	12300.0	25
726	14760.0	22140.0	75
1167	17220.0	12300.0	20
1051	17220.0	12300.0	58
261	14760.0	27060.0	18
908	14760.0	22140.0	11
261	14760.0	22140.0	78
831	19680.0	17220.0	14
877	14760.0	24600.0	65
1002	14760.0	22140.0	4
1137	14760.0	24600.0	51
1243	12300.0	19680.0	44
284	9840.0	12300.0	81
119	7380.0	19680.0	34
381	17220.0	12300.0	57
1237	14760.0	22140.0	36
1046	9840.0	12300.0	82
908	14760.0	22140.0	16
375	14760.0	22140.0	29
726	14760.0	27060.0	29
524	4920.0	19680.0	6
184	19680.0	17220.0	13
1158	19680.0	17220.0	106
908	12300.0	19680.0	66
1016	19680.0	17220.0	39
420	7380.0	19680.0	26
1159	17220.0	12300.0	76
420	4920.0	19680.0	12
261	14760.0	24600.0	45
1223	14760.0	22140.0	74
1158	19680.0	17220.0	6
1223	14760.0	19680.0	90
1051	17220.0	12300.0	41
385	19680.0	17220.0	14
451	19680.0	17220.0	71
726	14760.0	27060.0	1
822	9840.0	22140.0	67
1243	12300.0	19680.0	54
989	14760.0	27060.0	24
989	14760.0	22140.0	99
1016	19680.0	17220.0	3
524	4920.0	19680.0	23
184	19680.0	17220.0	45
1012	14760.0	27060.0	21
34	14760.0	22140.0	16
392	4920.0	19680.0	19
1012	14760.0	27060.0	17
980	14760.0	27060.0	22
11	14760.0	22140.0	2
119	4920.0	19680.0	14
565	17220.0	12300.0	24
565	14760.0	12300.0	10
127	7380.0	19680.0	30
1305	19680.0	19680.0	100
1046	7380.0	19680.0	32
393	7380.0	19680.0	38
1158	19680.0	19680.0	83
908	14760.0	22140.0	5
11	14760.0	22140.0	35
673	19680.0	17220.0	81
383	17220.0	12300.0	42
420	7380.0	19680.0	27
1079	19680.0	19680.0	96
1367	19680.0	17220.0	42
831	19680.0	17220.0	78
381	17220.0	12300.0	41
284	7380.0	19680.0	42
393	4920.0	19680.0	5
372	4920.0	19680.0	7
270	14760.0	24600.0	34
527	14760.0	27060.0	22
726	14760.0	27060.0	11
62	19680.0	17220.0	36
1159	17220.0	12300.0	53
493	17220.0	12300.0	36
696	14760.0	22140.0	57
381	17220.0	12300.0	36
527	14760.0	27060.0	17
980	17220.0	22140.0	88
393	4920.0	19680.0	11
650	19680.0	17220.0	11
393	4920.0	19680.0	3
524	7380.0	19680.0	54
270	14760.0	24600.0	43
119	14760.0	22140.0	71
34	9840.0	22140.0	70
62	19680.0	17220.0	24
440	17220.0	12300.0	50
385	19680.0	17220.0	24
1237	14760.0	22140.0	1
822	14760.0	22140.0	35
36	4920.0	19680.0	6
877	14760.0	22140.0	2
1046	7380.0	19680.0	40
1184	19680.0	17220.0	84
375	12300.0	17220.0	78
36	14760.0	19680.0	82
420	4920.0	19680.0	18
696	14760.0	22140.0	67
839	12300.0	19680.0	50
451	19680.0	17220.0	80
1367	19680.0	17220.0	65
11	12300.0	17220.0	72
420	7380.0	19680.0	25
270	14760.0	22140.0	62
1354	19680.0	17220.0	66
1232	17220.0	12300.0	35
222	7380.0	19680.0	41
119	4920.0	19680.0	16
1305	19680.0	17220.0	16
822	7380.0	19680.0	83
1354	19680.0	17220.0	42
184	19680.0	17220.0	35
822	14760.0	22140.0	18
767	12300.0	22140.0	55
696	14760.0	24600.0	36
119	12300.0	22140.0	63
381	17220.0	12300.0	38
1159	17220.0	12300.0	48
1232	17220.0	12300.0	46
440	17220.0	12300.0	29
1012	14760.0	22140.0	70
1184	19680.0	17220.0	82
222	9840.0	17220.0	63
980	14760.0	27060.0	27
1174	14760.0	27060.0	13
261	14760.0	24600.0	43
980	14760.0	27060.0	29
119	4920.0	19680.0	2
420	7380.0	19680.0	43
1046	9840.0	17220.0	59
389	14760.0	24600.0	50
1046	9840.0	17220.0	62
333	19680.0	19680.0	96
877	14760.0	22140.0	11
696	14760.0	22140.0	79
527	14760.0	22140.0	50
696	14760.0	27060.0	15
980	14760.0	27060.0	18
451	19680.0	17220.0	9
1367	19680.0	14760.0	47
440	17220.0	12300.0	34
11	14760.0	22140.0	1
