itemid	bin_latitude	bin_longitude	bin_timestamp
805	19680.0	17220.0	31
324	19680.0	17220.0	14
324	19680.0	17220.0	104
805	19680.0	17220.0	78
324	19680.0	19680.0	89
981	19680.0	17220.0	49
805	19680.0	17220.0	70
981	19680.0	17220.0	14
805	19680.0	17220.0	41
981	19680.0	17220.0	35
805	19680.0	17220.0	51
324	19680.0	19680.0	78
805	19680.0	17220.0	64
805	19680.0	17220.0	26
981	19680.0	17220.0	45
324	19680.0	17220.0	26
805	19680.0	17220.0	52
324	19680.0	17220.0	19
805	19680.0	17220.0	39
805	19680.0	17220.0	54
805	19680.0	17220.0	2
805	19680.0	17220.0	45
805	19680.0	17220.0	36
981	19680.0	17220.0	56
981	19680.0	17220.0	32
981	19680.0	17220.0	55
805	19680.0	17220.0	40
981	19680.0	17220.0	28
324	19680.0	17220.0	3
981	19680.0	17220.0	62
981	19680.0	17220.0	57
805	19680.0	17220.0	30
805	19680.0	17220.0	24
324	19680.0	17220.0	4
981	19680.0	17220.0	24
805	19680.0	17220.0	59
324	19680.0	17220.0	18
805	19680.0	17220.0	33
805	19680.0	17220.0	19
981	19680.0	17220.0	36
324	19680.0	17220.0	24
805	19680.0	17220.0	76
805	19680.0	17220.0	71
805	19680.0	17220.0	10
324	19680.0	19680.0	100
805	19680.0	17220.0	66
324	19680.0	17220.0	108
805	19680.0	17220.0	75
981	19680.0	17220.0	54
981	19680.0	17220.0	63
805	19680.0	17220.0	73
805	19680.0	17220.0	48
324	19680.0	17220.0	6
981	19680.0	17220.0	65
805	19680.0	17220.0	7
805	19680.0	17220.0	16
981	19680.0	17220.0	21
805	19680.0	17220.0	56
324	19680.0	17220.0	32
324	19680.0	17220.0	30
805	19680.0	17220.0	47
324	19680.0	19680.0	76
324	19680.0	17220.0	22
805	19680.0	17220.0	32
981	19680.0	17220.0	61
805	19680.0	17220.0	15
324	19680.0	17220.0	13
981	19680.0	17220.0	22
805	19680.0	17220.0	58
324	19680.0	19680.0	90
324	19680.0	17220.0	25
805	19680.0	17220.0	17
981	19680.0	17220.0	26
981	19680.0	17220.0	15
981	19680.0	17220.0	30
805	19680.0	17220.0	1
324	19680.0	19680.0	92
805	19680.0	17220.0	23
324	19680.0	17220.0	15
324	19680.0	19680.0	88
805	19680.0	17220.0	60
981	19680.0	17220.0	40
324	19680.0	19680.0	91
805	19680.0	17220.0	20
981	19680.0	17220.0	58
324	19680.0	19680.0	95
805	19680.0	17220.0	11
805	19680.0	17220.0	68
324	19680.0	19680.0	80
324	19680.0	17220.0	11
324	19680.0	17220.0	28
981	19680.0	17220.0	31
981	19680.0	17220.0	34
324	19680.0	17220.0	8
805	19680.0	17220.0	34
324	19680.0	17220.0	27
324	19680.0	17220.0	106
981	19680.0	17220.0	13
324	19680.0	19680.0	75
324	19680.0	19680.0	77
981	19680.0	17220.0	42
324	19680.0	17220.0	33
805	19680.0	17220.0	37
324	19680.0	17220.0	20
805	19680.0	17220.0	14
805	19680.0	17220.0	65
981	19680.0	17220.0	3
981	19680.0	17220.0	47
805	19680.0	17220.0	29
805	19680.0	17220.0	28
324	19680.0	19680.0	101
324	19680.0	19680.0	81
805	19680.0	17220.0	22
805	19680.0	17220.0	44
324	19680.0	17220.0	35
981	19680.0	17220.0	33
324	19680.0	19680.0	86
324	19680.0	17220.0	29
981	19680.0	17220.0	25
324	19680.0	17220.0	12
324	19680.0	17220.0	17
324	19680.0	17220.0	9
805	19680.0	17220.0	61
805	14760.0	19680.0	100
981	19680.0	17220.0	52
981	19680.0	17220.0	12
981	19680.0	17220.0	5
981	19680.0	17220.0	4
981	19680.0	17220.0	50
981	19680.0	17220.0	59
805	19680.0	17220.0	80
805	19680.0	17220.0	62
324	19680.0	17220.0	109
805	19680.0	17220.0	18
981	19680.0	17220.0	43
805	19680.0	17220.0	42
805	19680.0	17220.0	6
805	19680.0	17220.0	38
805	19680.0	17220.0	43
981	19680.0	17220.0	8
324	19680.0	19680.0	85
805	19680.0	17220.0	9
981	19680.0	17220.0	10
324	19680.0	17220.0	23
324	19680.0	19680.0	82
805	19680.0	17220.0	5
805	19680.0	17220.0	67
